# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies at z=[0.5,1.0)
# [Phi] = number / Mpc^3 / dex
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
# Muzzin, Marchesini, et al. 2013, ApJ, submitted
#
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
# For any questions, contact Danilo Marchesini (danilo.marchesini@tufts.edu) or Adam Muzzin (muzzin@strw.leidenuniv.nl)
#
#                       A	 A        A	   Q	    Q	     Q	     SF	       SF       SF
#  Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi	logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
   11.703    0.049   -4.593    0.183    0.177   -4.593    0.183    0.178   -99       -99      -99
   11.605    0.049   -4.195    0.123    0.127   -4.195    0.113    0.127   -99       -99      -99
   11.508    0.049   -3.974    0.095    0.091   -3.991    0.100    0.091   -5.371    0.450    0.509
   11.410    0.049   -3.704    0.094    0.076   -3.753    0.100    0.079   -4.672    0.176    0.185
   11.312    0.049   -3.439    0.066    0.061   -3.508    0.065    0.065   -4.275    0.138    0.124
   11.214    0.049   -3.221    0.060    0.054   -3.330    0.062    0.056   -3.873    0.079    0.074
   11.117    0.049   -3.015    0.050    0.049   -3.140    0.051    0.051   -3.619    0.065    0.064
   11.019    0.049   -2.910    0.047    0.043   -3.108    0.055    0.047   -3.346    0.054    0.053
   10.921    0.049   -2.748    0.041    0.040   -2.969    0.044    0.043   -3.147    0.047    0.046
   10.824    0.049   -2.631    0.039    0.040   -2.886    0.041    0.044   -2.984    0.044    0.041
   10.726    0.049   -2.549    0.039    0.036   -2.864    0.044    0.042   -2.837    0.041    0.039
   10.628    0.049   -2.500    0.036    0.035   -2.846    0.037    0.038   -2.760    0.039    0.037
   10.530    0.049   -2.514    0.035    0.034   -2.899    0.039    0.037   -2.745    0.037    0.035
   10.433    0.049   -2.417    0.033    0.033   -2.860    0.037    0.037   -2.612    0.034    0.033
   10.335    0.049   -2.402    0.033    0.033   -2.914    0.041    0.039   -2.561    0.033    0.033
   10.237    0.049   -2.367    0.032    0.032   -2.897    0.035    0.045   -2.519    0.033    0.034
   10.139    0.049   -2.419    0.033    0.031   -3.037    0.037    0.041   -2.539    0.035    0.032
   10.042    0.049   -2.348    0.032    0.030   -3.043    0.039    0.038   -2.446    0.033    0.031
    9.944    0.049   -2.307    0.030    0.030   -3.066    0.040    0.060   -2.390    0.031    0.030
    9.846    0.049   -2.272    0.030    0.029   -3.212    0.054    0.044   -2.325    0.029    0.030
    9.748    0.049   -2.234    0.029    0.031   -3.222    0.042    0.047   -2.281    0.029    0.030
    9.651    0.049   -2.260    0.029    0.029   -3.316    0.045    0.050   -2.300    0.030    0.030
    9.553    0.049   -2.201    0.030    0.029   -3.376    0.057    0.052   -2.231    0.030    0.029
    9.455    0.049   -2.151    0.029    0.030   -3.271    0.043    0.097   -2.185    0.029    0.029
    9.358    0.049   -2.129    0.028    0.029   -3.289    0.047    0.075   -2.160    0.028    0.029
    9.260    0.049   -2.144    0.029    0.036   -3.326    0.053    0.112   -2.173    0.029    0.035
    9.162    0.049   -2.090    0.031    0.034   -3.255    0.061    0.113   -2.121    0.030    0.033
    9.064    0.049   -2.068    0.030    0.031   -3.320    0.090    0.091   -2.092    0.030    0.031
    8.967    0.049   -2.075    0.040    0.036   -3.264    0.109    0.131   -2.104    0.042    0.037
