# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies at z=[0.2,0.5)
# [Phi] = number / Mpc^3 / dex
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
# Muzzin, Marchesini, et al. 2013, ApJ, submitted
#
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
# For any questions, contact Danilo Marchesini (danilo.marchesini@tufts.edu) or Adam Muzzin (muzzin@strw.leidenuniv.nl)
#
#                       A	 A        A	   Q	    Q	     Q	     SF	       SF       SF
#  Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi	logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
   11.992    0.050   -4.703    0.386    0.466   -4.703    0.386    0.466   -99       -99      -99
   11.893    0.050   -5.004    0.574    0.782   -5.004    0.574    0.782   -99       -99      -99
   11.794    0.050   -4.527    0.315    0.384   -4.527    0.315    0.384   -99       -99      -99
   11.695    0.050   -4.226    0.229    0.273   -4.226    0.229    0.273   -99       -99      -99
   11.595    0.050   -4.226    0.339    0.249   -4.226    0.335    0.247   -99       -99      -99
   11.496    0.050   -3.606    0.140    0.135   -3.642    0.146    0.139   -4.703    0.413    0.457
   11.397    0.050   -3.279    0.108    0.126   -3.305    0.108    0.125   -4.527    0.346    0.497
   11.298    0.050   -3.069    0.097    0.095   -3.129    0.094    0.098   -3.962    0.185    0.221
   11.198    0.050   -3.049    0.102    0.091   -3.095    0.098    0.093   -4.049    0.264    0.210
   11.099    0.050   -2.839    0.081    0.080   -2.914    0.089    0.083   -3.642    0.129    0.132
   11.000    0.050   -2.716    0.075    0.074   -2.833    0.076    0.077   -3.341    0.099    0.096
   10.901    0.050   -2.616    0.070    0.071   -2.753    0.072    0.075   -3.184    0.093    0.087
   10.801    0.050   -2.560    0.071    0.067   -2.761    0.079    0.073   -2.991    0.079    0.077
   10.702    0.050   -2.466    0.069    0.064   -2.677    0.075    0.067   -2.880    0.075    0.071
   10.603    0.050   -2.392    0.062    0.062   -2.692    0.068    0.069   -2.694    0.066    0.068
   10.504    0.050   -2.388    0.062    0.061   -2.725    0.068    0.066   -2.655    0.066    0.065
   10.404    0.050   -2.341    0.061    0.059   -2.730    0.070    0.068   -2.569    0.065    0.063
   10.305    0.050   -2.357    0.062    0.059   -2.802    0.074    0.069   -2.550    0.064    0.062
   10.206    0.050   -2.321    0.060    0.057   -2.800    0.067    0.068   -2.496    0.065    0.061
   10.107    0.050   -2.319    0.059    0.056   -2.848    0.072    0.067   -2.471    0.061    0.058
   10.008    0.050   -2.282    0.060    0.055   -2.928    0.096    0.069   -2.393    0.057    0.056
    9.908    0.050   -2.208    0.055    0.055   -2.792    0.064    0.083   -2.339    0.056    0.056
    9.809    0.050   -2.211    0.056    0.053   -2.914    0.082    0.075   -2.307    0.055    0.054
    9.710    0.050   -2.220    0.053    0.053   -2.910    0.065    0.078   -2.319    0.054    0.054
    9.611    0.050   -2.170    0.056    0.053   -2.917    0.073    0.079   -2.256    0.057    0.053
    9.511    0.050   -2.111    0.052    0.052   -2.910    0.069    0.076   -2.185    0.055    0.052
    9.412    0.050   -2.101    0.056    0.053   -2.995    0.080    0.071   -2.160    0.055    0.053
    9.313    0.050   -2.039    0.056    0.052   -2.939    0.078    0.079   -2.097    0.055    0.052
    9.214    0.050   -1.978    0.051    0.051   -2.867    0.066    0.070   -2.038    0.052    0.051
    9.114    0.050   -1.942    0.051    0.050   -2.839    0.063    0.065   -2.001    0.051    0.051
    9.015    0.050   -1.894    0.050    0.050   -2.701    0.059    0.084   -1.968    0.054    0.051
    8.916    0.050   -1.860    0.050    0.049   -2.725    0.065    0.071   -1.924    0.050    0.050
    8.817    0.050   -1.832    0.049    0.050   -2.707    0.065    0.085   -1.894    0.051    0.050
    8.717    0.050   -1.747    0.050    0.052   -2.563    0.065    0.103   -1.819    0.050    0.051
    8.618    0.050   -1.708    0.051    0.052   -2.494    0.080    0.116   -1.785    0.052    0.052
    8.519    0.050   -1.702    0.055    0.056   -2.615    0.091    0.105   -1.758    0.056    0.056
    8.420    0.050   -1.599    0.079    0.090   -2.446    0.171    0.213   -1.665    0.089    0.096
