# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies at z=[1.0,1.5)
# [Phi] = number / Mpc^3 / dex
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
# Muzzin, Marchesini, et al. 2013, ApJ, submitted
#
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
# For any questions, contact Danilo Marchesini (danilo.marchesini@tufts.edu) or Adam Muzzin (muzzin@strw.leidenuniv.nl)
#
#                       A	 A        A	   Q	    Q	     Q	     SF	       SF       SF
#  Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi	logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
   11.793    0.049   -5.881    0.629    0.827   -5.881    0.566    0.789   -99       -99      -99
   11.694    0.049   -5.182    0.305    0.346   -5.279    0.336    0.333   -5.881    0.522    0.769
   11.596    0.049   -4.650    0.165    0.193   -4.677    0.170    0.201   -5.881    0.621    0.806
   11.498    0.049   -4.434    0.146    0.118   -4.538    0.167    0.135   -5.103    0.233    0.252
   11.399    0.049   -4.000    0.077    0.086   -4.068    0.083    0.090   -4.839    0.165    0.177
   11.301    0.049   -3.828    0.078    0.069   -3.946    0.094    0.074   -4.449    0.115    0.119
   11.202    0.049   -3.466    0.054    0.055   -3.616    0.059    0.061   -4.000    0.080    0.072
   11.104    0.049   -3.249    0.050    0.049   -3.424    0.054    0.050   -3.728    0.063    0.075
   11.005    0.049   -3.082    0.041    0.043   -3.290    0.045    0.044   -3.502    0.050    0.050
   10.907    0.049   -2.962    0.038    0.039   -3.240    0.046    0.042   -3.286    0.044    0.052
   10.809    0.049   -2.852    0.036    0.036   -3.145    0.040    0.042   -3.161    0.039    0.039
   10.710    0.049   -2.800    0.034    0.039   -3.148    0.037    0.040   -3.059    0.038    0.046
   10.612    0.049   -2.703    0.034    0.035   -3.086    0.036    0.040   -2.934    0.037    0.039
   10.513    0.049   -2.680    0.031    0.031   -3.124    0.036    0.037   -2.874    0.033    0.032
   10.415    0.049   -2.648    0.029    0.031   -3.156    0.039    0.040   -2.810    0.031    0.032
   10.317    0.049   -2.637    0.029    0.031   -3.179    0.039    0.052   -2.783    0.030    0.030
   10.218    0.049   -2.602    0.029    0.032   -3.259    0.039    0.044   -2.710    0.030    0.031
   10.120    0.049   -2.621    0.028    0.029   -3.357    0.042    0.042   -2.709    0.029    0.029
   10.021    0.049   -2.540    0.026    0.028   -3.345    0.044    0.070   -2.614    0.027    0.028
    9.923    0.049   -2.505    0.027    0.026   -3.435    0.046    0.046   -2.559    0.027    0.027
    9.824    0.049   -2.457    0.028    0.029   -3.442    0.054    0.066   -2.505    0.031    0.029
    9.726    0.049   -2.378    0.027    0.029   -3.497    0.056    0.073   -2.412    0.028    0.029
    9.628    0.049   -2.369    0.031    0.033   -3.555    0.098    0.105   -2.398    0.031    0.034
    9.529    0.049   -2.374    0.054    0.052   -3.709    0.218    0.192   -2.394    0.059    0.061
